	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000092987	169.1499826	-1.559422236	0.470570488	-3.313897227	0.000920053	0.0549034
ENSDARG00000090861	231.6155441	-1.47564095	0.445342557	-3.313496381	0.000921373	0.0549034
ENSDARG00000074588	569.5905152	-1.26066535	0.381055358	-3.308352245	0.000938467	0.055296011
ENSDARG00000104697	290.8703018	-1.42000043	0.429632077	-3.305154587	0.00094924	0.055722875
ENSDARG00000095135	917.0581194	-1.211388765	0.366967961	-3.30107501	0.000963151	0.055829086
ENSDARG00000006553	8944.908434	-1.078164344	0.3267666	-3.299493716	0.000968594	0.055829086
ENSDARG00000092849	827.7338023	-1.357054509	0.411421112	-3.298456181	0.000972181	0.055829086
ENSDARG00000038716	176.7603132	-1.527288994	0.463088739	-3.298048227	0.000973594	0.055829086
ENSDARG00000076255	109.1597553	-1.870915523	0.567537391	-3.296550241	0.000978801	0.055829086
ENSDARG00000078024	12.20687717	-6.459457592	1.959550596	-3.296397452	0.000979334	0.055829086
ENSDARG00000098501	12.16186201	-6.454908073	1.961796505	-3.290304605	0.00100079	0.056847021
ENSDARG00000033320	2768.781933	-1.299176909	0.39524867	-3.286986166	0.001012658	0.057279764
ENSDARG00000014565	2677.453099	-1.054292124	0.320926886	-3.285147396	0.00101929	0.057279764
ENSDARG00000105479	5816.59776	-1.077620817	0.3282533	-3.282894082	0.001027473	0.057534824
ENSDARG00000092583	80.01060187	-2.211369424	0.67456856	-3.27819818	0.00104472	0.058116944
ENSDARG00000012603	2019.856593	-1.117961607	0.34122051	-3.276361103	0.00105154	0.058197985
ENSDARG00000015088	5200.483237	-1.050116876	0.320579245	-3.275685786	0.001054058	0.058197985
ENSDARG00000056075	1991.13978	-1.123607571	0.344402927	-3.262479738	0.001104421	0.060345699
ENSDARG00000069192	1110.127215	-1.139343397	0.349578643	-3.259190511	0.001117306	0.060839244
ENSDARG00000096139	111.8497168	-1.764435827	0.542015527	-3.255323399	0.001132633	0.06122088
ENSDARG00000099929	58.42732908	-2.404245149	0.738965998	-3.253526083	0.001139823	0.06122088
ENSDARG00000096461	127.8844224	-1.654671968	0.509950926	-3.244767059	0.001175467	0.062388957
ENSDARG00000070161	6351.317067	-1.205016468	0.371401605	-3.244510663	0.001176526	0.062388957
ENSDARG00000061854	4693.814863	-1.026961726	0.316653614	-3.243170706	0.001182074	0.062388957
ENSDARG00000015611	108.650076	-1.818337464	0.560969892	-3.241417211	0.00118937	0.062388957
ENSDARG00000076901	16.85230051	-5.553729532	1.713931214	-3.240345637	0.001193849	0.062388957
ENSDARG00000089139	2849.241895	-1.052996436	0.32508654	-3.239126525	0.001198964	0.062388957
ENSDARG00000095030	63.97762412	-2.205312692	0.684017334	-3.224059656	0.001263871	0.065221509
ENSDARG00000075821	137.2384102	-1.639219653	0.508936083	-3.220875285	0.001277997	0.065336438
ENSDARG00000102843	862.7240427	-1.224437414	0.380174261	-3.220726753	0.00127866	0.065336438
ENSDARG00000107264	11.58043633	-6.382389921	1.982210806	-3.219834087	0.001282648	0.065336438
ENSDARG00000094023	804.0437815	-1.11931867	0.348318101	-3.213495555	0.001311298	0.066367664
ENSDARG00000054789	4134.511209	-1.12143902	0.34908194	-3.212538068	0.001315677	0.066376541
